id,County
0500000US36095,Schoharie County
0500000US36067,Onondaga County
0500000US36019,Clinton County
0500000US36099,Seneca County
0500000US36079,Putnam County
0500000US36033,Franklin County
0500000US36069,Ontario County
0500000US36081,Queens County
0500000US36101,Steuben County
0500000US36041,Hamilton County
0500000US36115,Washington County
0500000US36013,Chautauqua County
0500000US36047,Kings County
0500000US36061,New York County
0500000US36107,Tioga County
0500000US36011,Cayuga County
0500000US36073,Orleans County
0500000US36091,Saratoga County
0500000US36087,Rockland County
0500000US36021,Columbia County
0500000US36049,Lewis County
0500000US36063,Niagara County
0500000US36119,Westchester County
0500000US36025,Delaware County
0500000US36031,Essex County
0500000US36057,Montgomery County
0500000US36059,Nassau County
0500000US36085,Richmond County
0500000US36097,Schuyler County
0500000US36109,Tompkins County
0500000US36017,Chenango County
0500000US36023,Cortland County
0500000US36045,Jefferson County
0500000US36065,Oneida County
0500000US36103,Suffolk County
0500000US36121,Wyoming County
0500000US36015,Chemung County
0500000US36075,Oswego County
0500000US36077,Otsego County
0500000US36117,Wayne County
0500000US36001,Albany County
0500000US36007,Broome County
0500000US36029,Erie County
0500000US36053,Madison County
0500000US36105,Sullivan County
0500000US36037,Genesee County
0500000US36071,Orange County
0500000US36005,Bronx County
0500000US36035,Fulton County
0500000US36083,Rensselaer County
0500000US36027,Dutchess County
0500000US36043,Herkimer County
0500000US36089,St. Lawrence County
0500000US36113,Warren County
0500000US36055,Monroe County
0500000US36111,Ulster County
0500000US36051,Livingston County
0500000US36039,Greene County
0500000US36003,Allegany County
0500000US36009,Cattaraugus County
0500000US36093,Schenectady County
0500000US36123,Yates County
0500000US36NYS,New York State
0500000US36NYC,New York City
0500000US36NYR,Rest of State
