countyFIPS,County Name,State,population
0,Statewide Unallocated,NY,0
0,New York City Unallocated,NY,0
36001,Albany County,NY,305506
36003,Allegany County,NY,46091
36005,Bronx County,NY,1418207
36007,Broome County,NY,190488
36009,Cattaraugus County,NY,76117
36011,Cayuga County,NY,76576
36013,Chautauqua County,NY,126903
36015,Chemung County,NY,83456
36017,Chenango County,NY,47207
36019,Clinton County,NY,80485
36021,Columbia County,NY,59461
36023,Cortland County,NY,47581
36025,Delaware County,NY,44135
36027,Dutchess County,NY,294218
36029,Erie County,NY,918702
36031,Essex County,NY,36885
36033,Franklin County,NY,50022
36035,Fulton County,NY,53383
36037,Genesee County,NY,57280
36039,Greene County,NY,47188
36041,Hamilton County,NY,4416
36043,Herkimer County,NY,61319
36045,Jefferson County,NY,109834
36047,Kings County,NY,2559903
36049,Lewis County,NY,26296
36051,Livingston County,NY,62914
36053,Madison County,NY,70941
36055,Monroe County,NY,741770
36057,Montgomery County,NY,49221
36059,Nassau County,NY,1356924
36061,New York County,NY,1628706
36063,Niagara County,NY,209281
36065,Oneida County,NY,228671
36067,Onondaga County,NY,460528
36069,Ontario County,NY,109777
36071,Orange County,NY,384940
36073,Orleans County,NY,40352
36075,Oswego County,NY,117124
36077,Otsego County,NY,59493
36079,Putnam County,NY,98320
36081,Queens County,NY,2253858
36083,Rensselaer County,NY,158714
36085,Richmond County,NY,476143
36087,Rockland County,NY,325789
36089,St. Lawrence County,NY,107740
36091,Saratoga County,NY,229863
36093,Schenectady County,NY,155299
36095,Schoharie County,NY,30999
36097,Schuyler County,NY,17807
36099,Seneca County,NY,34016
36101,Steuben County,NY,95379
36103,Suffolk County,NY,1476601
36105,Sullivan County,NY,75432
36107,Tioga County,NY,48203
36109,Tompkins County,NY,102180
36111,Ulster County,NY,177573
36113,Warren County,NY,63944
36115,Washington County,NY,61204
36117,Wayne County,NY,89918
36119,Westchester County,NY,967506
36121,Wyoming County,NY,39859
36123,Yates County,NY,24913
