id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",96429,B19013D,TBD
0500000US36067,"Onondaga County, New York",46613,B19013D,TBD
0500000US36019,"Clinton County, New York",40729,B19013D,TBD
0500000US36099,"Seneca County, New York",-,B19013D,TBD
0500000US36079,"Putnam County, New York",122083,B19013D,TBD
0500000US36033,"Franklin County, New York",175313,B19013D,TBD
0500000US36069,"Ontario County, New York",85905,B19013D,TBD
0500000US36081,"Queens County, New York",62230,B19013D,TBD
0500000US36101,"Steuben County, New York",95446,B19013D,TBD
0500000US36041,"Hamilton County, New York",-,B19013D,TBD
0500000US36115,"Washington County, New York",83224,B19013D,TBD
0500000US36013,"Chautauqua County, New York",-,B19013D,TBD
0500000US36047,"Kings County, New York",60756,B19013D,TBD
0500000US36061,"New York County, New York",79838,B19013D,TBD
0500000US36107,"Tioga County, New York",37629,B19013D,TBD
0500000US36011,"Cayuga County, New York",94464,B19013D,TBD
0500000US36073,"Orleans County, New York",108000,B19013D,TBD
0500000US36091,"Saratoga County, New York",104057,B19013D,TBD
0500000US36087,"Rockland County, New York",119367,B19013D,TBD
0500000US36021,"Columbia County, New York",52426,B19013D,TBD
0500000US36049,"Lewis County, New York",35583,B19013D,TBD
0500000US36063,"Niagara County, New York",39044,B19013D,TBD
0500000US36119,"Westchester County, New York",127005,B19013D,TBD
0500000US36025,"Delaware County, New York",55469,B19013D,TBD
0500000US36031,"Essex County, New York",51250,B19013D,TBD
0500000US36057,"Montgomery County, New York",35982,B19013D,TBD
0500000US36059,"Nassau County, New York",134979,B19013D,TBD
0500000US36085,"Richmond County, New York",80016,B19013D,TBD
0500000US36097,"Schuyler County, New York",-,B19013D,TBD
0500000US36109,"Tompkins County, New York",31236,B19013D,TBD
0500000US36017,"Chenango County, New York",-,B19013D,TBD
0500000US36023,"Cortland County, New York",-,B19013D,TBD
0500000US36045,"Jefferson County, New York",45509,B19013D,TBD
0500000US36065,"Oneida County, New York",35767,B19013D,TBD
0500000US36103,"Suffolk County, New York",106250,B19013D,TBD
0500000US36121,"Wyoming County, New York",-,B19013D,TBD
0500000US36015,"Chemung County, New York",120729,B19013D,TBD
0500000US36075,"Oswego County, New York",63875,B19013D,TBD
0500000US36077,"Otsego County, New York",53750,B19013D,TBD
0500000US36117,"Wayne County, New York",89205,B19013D,TBD
0500000US36001,"Albany County, New York",81778,B19013D,TBD
0500000US36007,"Broome County, New York",40927,B19013D,TBD
0500000US36029,"Erie County, New York",50505,B19013D,TBD
0500000US36053,"Madison County, New York",110625,B19013D,TBD
0500000US36105,"Sullivan County, New York",95625,B19013D,TBD
0500000US36037,"Genesee County, New York",159196,B19013D,TBD
0500000US36071,"Orange County, New York",95757,B19013D,TBD
0500000US36005,"Bronx County, New York",52028,B19013D,TBD
0500000US36035,"Fulton County, New York",77500,B19013D,TBD
0500000US36083,"Rensselaer County, New York",65538,B19013D,TBD
0500000US36027,"Dutchess County, New York",123918,B19013D,TBD
0500000US36043,"Herkimer County, New York",-,B19013D,TBD
0500000US36089,"St. Lawrence County, New York",48583,B19013D,TBD
0500000US36113,"Warren County, New York",61653,B19013D,TBD
0500000US36055,"Monroe County, New York",62159,B19013D,TBD
0500000US36111,"Ulster County, New York",64554,B19013D,TBD
0500000US36051,"Livingston County, New York",59583,B19013D,TBD
0500000US36039,"Greene County, New York",98462,B19013D,TBD
0500000US36003,"Allegany County, New York",-,B19013D,TBD
0500000US36009,"Cattaraugus County, New York",66316,B19013D,TBD
0500000US36093,"Schenectady County, New York",66726,B19013D,TBD
0500000US36123,"Yates County, New York",33438,B19013D,TBD
