id,County,TotalAtOrBelowPovertyLevel,DriveAlone,Carpool,PublicTransport,Other,Telecommute,TableReferenceId,CensusNotes
0500000US36061,"New York County, New York",2560050,252171,58414,1940981,248521,59963,B08522,TBD
0500000US36047,"Kings County, New York",865473,264516,52708,369375,126887,51987,B08522,TBD
0500000US36081,"Queens County, New York",732091,325759,53819,249736,74671,28106,B08522,TBD
0500000US36103,"Suffolk County, New York",639472,533796,50357,11225,17022,27072,B08522,TBD
0500000US36059,"Nassau County, New York",574472,438639,46642,39144,23054,26993,B08522,TBD
0500000US36029,"Erie County, New York",465588,384723,35959,15952,15748,13206,B08522,TBD
0500000US36119,"Westchester County, New York",443092,304154,39100,45804,28859,25175,B08522,TBD
0500000US36055,"Monroe County, New York",383452,317517,29409,10527,11891,14108,B08522,TBD
0500000US36005,"Bronx County, New York",378570,141462,25277,144295,49579,17957,B08522,TBD
0500000US36067,"Onondaga County, New York",243744,199870,19373,6412,9377,8712,B08522,TBD
0500000US36001,"Albany County, New York",221668,177246,18408,11914,9106,4994,B08522,TBD
0500000US36071,"Orange County, New York",147693,115502,12984,2561,8631,8015,B08522,TBD
0500000US36085,"Richmond County, New York",129802,87607,10736,19757,6422,5280,B08522,TBD
0500000US36087,"Rockland County, New York",116593,85086,12073,5316,6947,7171,B08522,TBD
0500000US36027,"Dutchess County, New York",115192,91288,8628,1934,5415,7927,B08522,TBD
0500000US36065,"Oneida County, New York",106447,88793,8523,1159,3650,4322,B08522,TBD
0500000US36091,"Saratoga County, New York",94704,77801,7528,433,2590,6352,B08522,TBD
0500000US36007,"Broome County, New York",89958,73957,7404,2793,3304,2500,B08522,TBD
0500000US36063,"Niagara County, New York",75980,64012,5300,1139,2846,2683,B08522,TBD
0500000US36111,"Ulster County, New York",68083,52085,5934,540,3654,5870,B08522,TBD
0500000US36093,"Schenectady County, New York",66296,55199,4495,1538,2852,2212,B08522,TBD
0500000US36083,"Rensselaer County, New York",57087,45374,4493,1663,2895,2662,B08522,TBD
0500000US36109,"Tompkins County, New York",56834,39078,6176,3219,5903,2458,B08522,TBD
0500000US36013,"Chautauqua County, New York",53871,44038,4889,180,2774,1990,B08522,TBD
0500000US36069,"Ontario County, New York",52595,43681,4376,366,1719,2453,B08522,TBD
0500000US36045,"Jefferson County, New York",52522,43560,4988,243,2016,1715,B08522,TBD
0500000US36101,"Steuben County, New York",41400,33636,3856,160,2281,1467,B08522,TBD
0500000US36089,"St. Lawrence County, New York",39163,31429,3808,177,1811,1938,B08522,TBD
0500000US36015,"Chemung County, New York",37294,31137,3520,635,1255,747,B08522,TBD
0500000US36113,"Warren County, New York",36866,30166,3444,460,1673,1123,B08522,TBD
0500000US36075,"Oswego County, New York",36238,29549,2898,389,1848,1554,B08522,TBD
0500000US36019,"Clinton County, New York",34461,28035,3175,243,2090,918,B08522,TBD
0500000US36117,"Wayne County, New York",30194,24683,2406,304,1252,1549,B08522,TBD
0500000US36009,"Cattaraugus County, New York",29398,24475,2240,128,1627,928,B08522,TBD
0500000US36079,"Putnam County, New York",28137,21741,2549,522,766,2559,B08522,TBD
0500000US36011,"Cayuga County, New York",27490,22656,1806,177,1681,1170,B08522,TBD
0500000US36077,"Otsego County, New York",27440,20869,2785,381,2137,1268,B08522,TBD
0500000US36105,"Sullivan County, New York",26980,21892,2007,151,1330,1600,B08522,TBD
0500000US36037,"Genesee County, New York",24284,20078,1925,147,1406,728,B08522,TBD
0500000US36021,"Columbia County, New York",23963,18610,1736,177,1462,1978,B08522,TBD
0500000US36053,"Madison County, New York",22806,18079,1770,105,1229,1623,B08522,TBD
0500000US36051,"Livingston County, New York",21792,17817,1382,245,1445,903,B08522,TBD
0500000US36023,"Cortland County, New York",21263,16925,2341,126,1116,755,B08522,TBD
0500000US36025,"Delaware County, New York",19791,15213,1647,137,1493,1301,B08522,TBD
0500000US36057,"Montgomery County, New York",19461,14931,1981,102,1567,880,B08522,TBD
0500000US36033,"Franklin County, New York",19454,15217,2188,64,955,1030,B08522,TBD
0500000US36017,"Chenango County, New York",19145,14468,2406,83,1142,1046,B08522,TBD
0500000US36043,"Herkimer County, New York",18404,13826,1701,208,1493,1176,B08522,TBD
0500000US36035,"Fulton County, New York",18176,15197,1533,54,995,397,B08522,TBD
0500000US36115,"Washington County, New York",17997,14430,1190,250,940,1187,B08522,TBD
0500000US36031,"Essex County, New York",16671,12914,1728,158,832,1039,B08522,TBD
0500000US36039,"Greene County, New York",16594,13174,1451,8,998,963,B08522,TBD
0500000US36121,"Wyoming County, New York",14974,12036,1366,56,903,613,B08522,TBD
0500000US36003,"Allegany County, New York",14941,11912,1225,89,1159,556,B08522,TBD
0500000US36107,"Tioga County, New York",14756,12172,1351,31,567,635,B08522,TBD
0500000US36099,"Seneca County, New York",14187,11382,1123,66,972,644,B08522,TBD
0500000US36073,"Orleans County, New York",13737,10913,1243,100,917,564,B08522,TBD
0500000US36095,"Schoharie County, New York",10581,8218,932,37,762,632,B08522,TBD
0500000US36123,"Yates County, New York",9212,6230,763,0,1062,1157,B08522,TBD
0500000US36049,"Lewis County, New York",8607,6533,794,77,639,564,B08522,TBD
0500000US36097,"Schuyler County, New York",6209,4463,813,142,288,503,B08522,TBD
0500000US36041,"Hamilton County, New York",1580,1246,107,3,160,64,B08522,TBD
