"GEO_ID","NAME","B19013H_001E","B19013H_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","53701","2288"
"0500000US36067","Onondaga County, New York","65511","894"
"0500000US36019","Clinton County, New York","55525","2604"
"0500000US36099","Seneca County, New York","55968","1822"
"0500000US36079","Putnam County, New York","105244","3087"
"0500000US36033","Franklin County, New York","52509","1955"
"0500000US36069","Ontario County, New York","65262","1802"
"0500000US36081","Queens County, New York","74157","882"
"0500000US36101","Steuben County, New York","51375","1404"
"0500000US36041","Hamilton County, New York","57786","2646"
"0500000US36115","Washington County, New York","54032","2517"
"0500000US36013","Chautauqua County, New York","47213","1301"
"0500000US36047","Kings County, New York","77250","925"
"0500000US36061","New York County, New York","122852","1763"
"0500000US36107","Tioga County, New York","61033","1660"
"0500000US36011","Cayuga County, New York","57605","1839"
"0500000US36073","Orleans County, New York","52935","2058"
"0500000US36091","Saratoga County, New York","79828","1820"
"0500000US36087","Rockland County, New York","95630","2350"
"0500000US36021","Columbia County, New York","64987","2608"
"0500000US36049","Lewis County, New York","52791","1877"
"0500000US36063","Niagara County, New York","57741","1325"
"0500000US36119","Westchester County, New York","115687","1868"
"0500000US36025","Delaware County, New York","49285","1851"
"0500000US36031","Essex County, New York","56676","2171"
"0500000US36057","Montgomery County, New York","49543","2201"
"0500000US36059","Nassau County, New York","117594","1485"
"0500000US36085","Richmond County, New York","88906","2182"
"0500000US36097","Schuyler County, New York","51444","3142"
"0500000US36109","Tompkins County, New York","64672","2281"
"0500000US36017","Chenango County, New York","50290","1528"
"0500000US36023","Cortland County, New York","55240","2183"
"0500000US36045","Jefferson County, New York","53460","1837"
"0500000US36065","Oneida County, New York","56959","1102"
"0500000US36103","Suffolk County, New York","101100","936"
"0500000US36121","Wyoming County, New York","58194","1759"
"0500000US36015","Chemung County, New York","54541","1374"
"0500000US36075","Oswego County, New York","54257","1413"
"0500000US36077","Otsego County, New York","53310","1266"
"0500000US36117","Wayne County, New York","56222","1656"
"0500000US36001","Albany County, New York","73077","1201"
"0500000US36007","Broome County, New York","53621","1244"
"0500000US36029","Erie County, New York","63342","661"
"0500000US36053","Madison County, New York","60005","1676"
"0500000US36105","Sullivan County, New York","60099","2435"
"0500000US36037","Genesee County, New York","62709","2878"
"0500000US36071","Orange County, New York","81929","2005"
"0500000US36005","Bronx County, New York","62230","2247"
"0500000US36035","Fulton County, New York","50449","1573"
"0500000US36083","Rensselaer County, New York","69445","1339"
"0500000US36027","Dutchess County, New York","81752","1654"
"0500000US36043","Herkimer County, New York","52386","1913"
"0500000US36089","St. Lawrence County, New York","49317","1606"
"0500000US36113","Warren County, New York","60239","2211"
"0500000US36055","Monroe County, New York","66410","889"
"0500000US36111","Ulster County, New York","66386","1641"
"0500000US36051","Livingston County, New York","57130","1948"
"0500000US36039","Greene County, New York","53579","3017"
"0500000US36003","Allegany County, New York","47271","1398"
"0500000US36009","Cattaraugus County, New York","48269","1314"
"0500000US36093","Schenectady County, New York","69733","2106"
"0500000US36123","Yates County, New York","55069","3023"
