County Name,State,Date,Population,Deaths,Cases,% of Population,% or Deaths,% of Cases
Statewide Unallocated,NY,5/22/2020,0,90,69,0,0,0
New York City Unallocated,NY,5/22/2020,0,310,0,0,1,0
Albany County,NY,5/22/2020,305506,94,1756,2,0,0
Allegany County,NY,5/22/2020,46091,2,44,0,0,0
Bronx County,NY,5/22/2020,1418207,4201,43766,7,15,12
Broome County,NY,5/22/2020,190488,40,468,1,0,0
Cattaraugus County,NY,5/22/2020,76117,2,74,0,0,0
Cayuga County,NY,5/22/2020,76576,2,73,0,0,0
Chautauqua County,NY,5/22/2020,126903,2,63,1,0,0
Chemung County,NY,5/22/2020,83456,3,135,0,0,0
Chenango County,NY,5/22/2020,47207,4,118,0,0,0
Clinton County,NY,5/22/2020,80485,4,94,0,0,0
Columbia County,NY,5/22/2020,59461,36,356,0,0,0
Cortland County,NY,5/22/2020,47581,1,37,0,0,0
Delaware County,NY,5/22/2020,44135,2,72,0,0,0
Dutchess County,NY,5/22/2020,294218,133,3767,2,0,1
Erie County,NY,5/22/2020,918702,454,5397,5,2,2
Essex County,NY,5/22/2020,36885,0,36,0,0,0
Franklin County,NY,5/22/2020,50022,0,19,0,0,0
Fulton County,NY,5/22/2020,53383,18,189,0,0,0
Genesee County,NY,5/22/2020,57280,4,189,0,0,0
Greene County,NY,5/22/2020,47188,12,215,0,0,0
Hamilton County,NY,5/22/2020,4416,1,5,0,0,0
Herkimer County,NY,5/22/2020,61319,3,95,0,0,0
Jefferson County,NY,5/22/2020,109834,0,72,1,0,0
Kings County,NY,5/22/2020,2559903,6459,53639,13,23,15
Lewis County,NY,5/22/2020,26296,5,19,0,0,0
Livingston County,NY,5/22/2020,62914,3,114,0,0,0
Madison County,NY,5/22/2020,70941,8,297,0,0,0
Monroe County,NY,5/22/2020,741770,169,2601,4,1,1
Montgomery County,NY,5/22/2020,49221,4,77,0,0,0
Nassau County,NY,5/22/2020,1356924,2082,39608,7,7,11
New York County,NY,5/22/2020,1628706,2707,25672,8,10,7
Niagara County,NY,5/22/2020,209281,55,897,1,0,0
Oneida County,NY,5/22/2020,228671,41,828,1,0,0
Onondaga County,NY,5/22/2020,460528,96,1828,2,0,1
Ontario County,NY,5/22/2020,109777,9,180,1,0,0
Orange County,NY,5/22/2020,384940,360,10142,2,1,3
Orleans County,NY,5/22/2020,40352,27,175,0,0,0
Oswego County,NY,5/22/2020,117124,2,96,1,0,0
Otsego County,NY,5/22/2020,59493,4,67,0,0,0
Putnam County,NY,5/22/2020,98320,58,1187,1,0,0
Queens County,NY,5/22/2020,2253858,6058,60236,12,21,17
Rensselaer County,NY,5/22/2020,158714,25,460,1,0,0
Richmond County,NY,5/22/2020,476143,916,13171,2,3,4
Rockland County,NY,5/22/2020,325789,487,12905,2,2,4
St. Lawrence County,NY,5/22/2020,107740,2,195,1,0,0
Saratoga County,NY,5/22/2020,229863,14,448,1,0,0
Schenectady County,NY,5/22/2020,155299,26,645,1,0,0
Schoharie County,NY,5/22/2020,30999,2,49,0,0,0
Schuyler County,NY,5/22/2020,17807,0,11,0,0,0
Seneca County,NY,5/22/2020,34016,1,54,0,0,0
Steuben County,NY,5/22/2020,95379,27,240,0,0,0
Suffolk County,NY,5/22/2020,1476601,1814,38672,8,6,11
Sullivan County,NY,5/22/2020,75432,28,1287,0,0,0
Tioga County,NY,5/22/2020,48203,17,118,0,0,0
Tompkins County,NY,5/22/2020,102180,0,147,1,0,0
Ulster County,NY,5/22/2020,177573,70,1595,1,0,0
Warren County,NY,5/22/2020,63944,27,246,0,0,0
Washington County,NY,5/22/2020,61204,14,224,0,0,0
Wayne County,NY,5/22/2020,89918,2,104,0,0,0
Westchester County,NY,5/22/2020,967506,1319,32767,5,5,9
Wyoming County,NY,5/22/2020,39859,5,79,0,0,0
Yates County,NY,5/22/2020,24913,6,34,0,0,0
Total,,,19453561,28367,358223,,,
