"GEO_ID","NAME","B19013B_001E","B19013B_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","63750","29322"
"0500000US36067","Onondaga County, New York","31623","1478"
"0500000US36019","Clinton County, New York","50208","16725"
"0500000US36099","Seneca County, New York","36094","27714"
"0500000US36079","Putnam County, New York","98875","39480"
"0500000US36033","Franklin County, New York","-","**"
"0500000US36069","Ontario County, New York","32037","13246"
"0500000US36081","Queens County, New York","66562","1334"
"0500000US36101","Steuben County, New York","45045","17241"
"0500000US36041","Hamilton County, New York","-","**"
"0500000US36115","Washington County, New York","-","**"
"0500000US36013","Chautauqua County, New York","19898","5250"
"0500000US36047","Kings County, New York","45326","796"
"0500000US36061","New York County, New York","35596","1715"
"0500000US36107","Tioga County, New York","71477","25312"
"0500000US36011","Cayuga County, New York","29821","8208"
"0500000US36073","Orleans County, New York","45938","33593"
"0500000US36091","Saratoga County, New York","68675","11128"
"0500000US36087","Rockland County, New York","76649","4730"
"0500000US36021","Columbia County, New York","36029","6657"
"0500000US36049","Lewis County, New York","-","**"
"0500000US36063","Niagara County, New York","26330","2492"
"0500000US36119","Westchester County, New York","59181","2252"
"0500000US36025","Delaware County, New York","25658","15953"
"0500000US36031","Essex County, New York","-","**"
"0500000US36057","Montgomery County, New York","35517","11911"
"0500000US36059","Nassau County, New York","94498","3172"
"0500000US36085","Richmond County, New York","46065","2763"
"0500000US36097","Schuyler County, New York","-","**"
"0500000US36109","Tompkins County, New York","29674","14352"
"0500000US36017","Chenango County, New York","71613","31561"
"0500000US36023","Cortland County, New York","-","**"
"0500000US36045","Jefferson County, New York","50945","3624"
"0500000US36065","Oneida County, New York","27389","3131"
"0500000US36103","Suffolk County, New York","76115","3139"
"0500000US36121","Wyoming County, New York","47639","36870"
"0500000US36015","Chemung County, New York","29871","3282"
"0500000US36075","Oswego County, New York","-","**"
"0500000US36077","Otsego County, New York","42772","23897"
"0500000US36117","Wayne County, New York","27692","11745"
"0500000US36001","Albany County, New York","32005","1129"
"0500000US36007","Broome County, New York","22036","2770"
"0500000US36029","Erie County, New York","30686","1131"
"0500000US36053","Madison County, New York","63500","9717"
"0500000US36105","Sullivan County, New York","40198","11789"
"0500000US36037","Genesee County, New York","28750","7457"
"0500000US36071","Orange County, New York","66549","2651"
"0500000US36005","Bronx County, New York","40681","673"
"0500000US36035","Fulton County, New York","-","**"
"0500000US36083","Rensselaer County, New York","31610","5402"
"0500000US36027","Dutchess County, New York","50765","5421"
"0500000US36043","Herkimer County, New York","-","**"
"0500000US36089","St. Lawrence County, New York","75500","53669"
"0500000US36113","Warren County, New York","74028","66293"
"0500000US36055","Monroe County, New York","30034","1170"
"0500000US36111","Ulster County, New York","32085","8849"
"0500000US36051","Livingston County, New York","21333","10910"
"0500000US36039","Greene County, New York","64026","1936"
"0500000US36003","Allegany County, New York","41406","4912"
"0500000US36009","Cattaraugus County, New York","-","**"
"0500000US36093","Schenectady County, New York","31813","2584"
"0500000US36123","Yates County, New York","-","**"
